nohhold,nomem,psy1,psy2,inkhh,inknorm,inkrond,finsitu,inkeven,inkaank,inksec,loan1,loan2,loan3,ink25a,ink25b,ink25c,ecsit,zinvol,opzij,hoevopzy,opzij12,spaarm01,spaarm02,spaarm03,spaarm04,spaarm05,spaarm06,spaarm07,spaarm08,spaarm09,spaarm10,spaarm11,spaarm12,spaarm13,spaarm14,spaarm15,spaarm16,stig01,stig02,stig03,stig04,stig05,stig06,stig07,stig08,stig09,stig10,stig11,stig12,stig13,stig14,stig15,stig16,stig17,stig18,stig19,stig20,stig21,situat1,situat2,situat3,situat4,situat5,situat6,situat7,spaar1,spaar2,spaar3,spaar4,spaar5,spaar6,beschryf,toek01,toek02,toek03,toek04,toek05,toek06,toek07,toek08,toek09,toek10,toek11,toek12,uitgeven,control,plannen,periode1,bijhoud,potjes,pin1,pin2,chip1,chip2,autom,foon,intern,zon,her1,her2,her3,her4,baby,plan,uitspr,hhrela,beslis,geldh,geluk,kenltd,kenhh,kenink,kenopl,kenwerk,manuur,vrouwuur,kunde,advies,con01,con02,con03,con04,con05,con06,con07,con08,con09,con10,con11,con12,con13,con14,con15,con16,con17,con18,con19,con20,con21,con22,con23,con24,con25,con26,con27,con28,con29,con30,con31,con32,con33,con34,con35,con36,con37,con38,con39,con40,con41,con42,con43,con44,con45,con46,con47,con48,con49,con50,locus01,locus02,locus03,locus04,locus05,locus06,locus07,locus08,locus09,locus10,locus11,locus12,locus13,work01,work02,work03,work04,work05,work06,work07,work08,work09,jeugd1,jeugd2,jeugd3,jeugd4,jeugd5,jeugd6
6,1,1,1,4,1,3,4,3, , ,2,1,2,4,1,4,4,2,1,2,1,1,1,5,7,3,1,1,7,1,7,4,1,1,6,6,4,6,2,1,4,4,1,1,5,2,7,5,6,3,1,5,4,2,1,4,2,5,4,4,2,4,4,4,5,6,4,1,6,1,4,1,3,2,3,5,3,4,3,2,4,3,5,4,5,6,1,2,1,2,1,2,1,1,2,4,2,15,85,60,15,100,2, , ,1,3,1,2,8,3,7,6,4,40,15,2,8,3,1,2,1,5,5,3,4,1,5,3,3,2,4,3,3,4,2,4,2,3,4,3,3,4,3,4,3,2,3,3,4,2,3,4,3,2,4,3,3,2,4,4,3,3,3,2,4,1,3,5,3,2,4,6,4,5,3,7,3,4,4,2,6,7,6,6,7,5,2,7,5,3,4,2,4,2,1
6,2,1,1,4,2,3,3,1,1,2,2,1,2,3,1,3,2,2,1,1,2,1,1,4,6,3,4,1,6,1,5,4,1,1,5,5,3,4,1,4,4,3,1,1,5,2,6,2,6,7,3,5,6,6,3,4,4,5,4,3,4,3,4,2,2,7,7,1,7,4,1,-7,2,2,5,6,5,1,4,2,4,4,5,5,4,4,4,1,1,1,1,4,2, ,-9,4,2,70,100,100,20,100,2, , ,3,3,1,3,8,2,-9,6,4,40,10,1,6,3,4,2,3,4,1,3,3,3,3,1,4,3,4,4,4,3,3,3,3,2,2,3,4,4,4,2,2,3,3,3,3,2,2,3,2,2,3,3,4,2,3,3,2,3,3,3,3,2,2,3,3,4,6,5,6,6,5,6,4,2,2,1, , , , , , , , , ,1,3,3,3,4,2
21,1,1,1,6,2,3,3,1,2, ,1,2,2,4,2, ,2,2,1,2,1,1,2,3,7,1,1,1,7,1,7,1,1,4,7,2,4,5,1,1,1,1,1,2,5,6,7,3,5,6,4,1,1,7,5,1,7,7,5,4,5,4,4,2,7,1,7,7,7,6,6,2,1,1,7,6,2,1,5,2,7,7,7,7,2, ,6,1,1,2,1,1,2, ,2,2,5,75,10,0,0,10,1,1,3,1,4,2,1,10,2,10,6,4,36,24,3,6,2,4,1,2,3,5,3,4,2,3,1,2,1,4,3,4,5,1,4,3,1,4,3,4,5,1,4,2,3,5,1,5,1,1,3,2,1,3,2,3,1,1,4,3,3,4,3,4,1,5,6,2,6,7,6,6,6,2,6,2,6,2,1,7,6,7,6,5,3,4,5,6,3,4,5,2,4,4
21,2,1,1,6,2,3,1,1,2, ,1,2,2,4,2, ,2,2,1,2,1,1,2,2,5,6,1,1,7,1,3,3,1,2,7,2,4,5,1,1,1,5,1,1,5,2,7,5,6,2,5,5,6,5,4,6,7,4,4,3,4,4,4,3,5,5,7,1,6,1,1,-7,3,2,5,5,6,1,4,3,5,6,6,6,4,1,6,1,1,2,1,3,2, ,2,2,-9,55,5,0,0,10,1,1,3,2,2,2,2,10,2,10,6,4,40,20,1,9,5,1,3,1,4,5,1,4,1,5,2,1,3,4,3,5,4,1,4,1,4,3,3,5,3,1,5,1,3,4,1,5,2,1,4,1,3,4,3,5,3,1,4,5,3,4,2,5,3,4,6,4,6,1,6,7,6,1,2,1,4,6,1,7,7,7,7,6,1,3,7,2,4,1,4,1,4,4
21,3,0,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,5,1,1,5,4,2,3,6,6,6,5,6,4,5,6,5,3,6,6,6,3,4,5,3,6,5,5,4,2,2,6,3,2,-7,6,6,3,2,5,6,6,6,3,6,2,6,2,1,6,3,4,2,1,4,2, ,2,4,-9,45,25,10,0,15,2, , ,1, , ,2,3,1,7,4,4,36,36,3,6,4,2,4,3,5,5,2,4,1,5,1,5,4,5,3,2,3,1,2,4,4,4,5,1,3,1,3,5,1,5,2,3,2,1,2,5,4,5,4,1,4,2,1,2,4,4,4,2,3,5,7,6,6,7,7,7,6,2,7,1,1,2,1,7,7,7,6,7,1,2,3,6,1,2,5,1,4,4
38,1,1,1,5,2,5,4,3, , ,2,1,2,4,2, ,4,2,1,2,1,6,6,2,2,2,2,5,4,6,4,3,2,5,3,4,4,5,2,3,5,4,2,3,6,4,5,5,5,4,2,6,6,3,1,2,5,3,6,4,3,5,4,5,5,6,3,2,5,2,1,2,4,3,5,3,5,4,5,4,5,4,5,3,6,6,3,2,1,2,1,1,2, ,3,5,2,1,100,100,0,100,1,2,2,1,2,1,1,11,2,9,5,1,30,5,2,2,4,3,2,3,3,2,3,3,5,2,1,4,3,4,4,3,3,3,4,2,3,3,4,4,3,3,3,3,4,3,4,4,2,3,3,4,3,3,3,3,2,2,3,3,2,3,3,3,2,2,4,4,4,3,5,4,4,5,4,5,4,4,2, , , , , , , , , ,4,5,2,4,4,1
38,2,1,1,5,2,5,4,3, , ,-7,1,2,4,2, ,4,1,1,2,1,6,6,3,4,5,2,5,5,6,5,3,1,5,5,5,5,5,3,3,6,4,3,2,6,3,5,4,5,6,1,6,6,4,1,5,4,2,5,5,3,5,4,4,5,6,2,2,6,3,2,1,5,4,4,3,4,4,5,4,2,4,5,4,6,6,4,1,5,3,2, ,2, ,3,2,2,0,100,100,0,100,1,2,2,1,1,1,1,10,2,-9,6,1,40,0,1,8,5,2,4,2,4,4,2,3,1,5,3,2,2,2,3,4,4,3,4,1,2,2,3,4,3,3,2,3,2,2,3,4,2,2,3,3,3,3,2,4,3,2,3,4,2,4,3,3,2,2,4,5,4,3,5,4,5,6,4,6,4,4,5, , , , , , , , , ,4,5,1,4,3,2
106,1,1,1,4,-9,3,3,2, , ,-7,2,2,3,2, ,-9,1,1,2,1,1,1,1,1,1,4,7,1,1,7,4,1,4,7,7,7,7,4,4,7,5,4,5,7,2,4,4,6,5,1,7,7,1,1,7,7,2,4,4,4,4,4,4,4,4,7,1,7,4,1,-7,7,6,6,6,6,6,7,5,4,4,4,4,7, ,2,1,5,1,1,2,2, ,-9,3,5,5,0,0,0,0,1,-9,3,1,3,1,1,7,4,-9,4,4,40,0,1,6,4,4,1,5,5,5,1,5,5,5,1,2,2,5,5,3,5,1,3,1,3,3,5,3,3,5,3,3,2,3,1,5,1,1,3,3,3,4,5,3,3,5,1,3,5,5,3,4,1,4,6,1,1,2,7,7,6,2,7,4,4,4,1,7,7,7,7,7,1,7,7,1,2,4,2,1,2,4
106,2,1,1,4,2,3,3,2, , ,-7,2,2,3,2, ,-9,1,1,2,1,4,6,6,6,6,6,4,7,4,7,7,1,7,7,7,7,7,4,4,7,7,4,7,7,1,7,5,7,7,1,7,7,7,1,7,7,1,4,4,4,4,4,4,4,7,7,1,7,1,1,-7,7,3,6,6,4,6,1,3,4,3,4,4,7, ,1,1,5,1,1,2,2, ,-9,4,2,50,5,5,5,0,1,1,3,1,3,1,1,6,4,-9,4,4,40,30,2,6,4,1,3,2,3,4,1,3,1,5,2,1,3,3,3,4,4,3,4,1,2,3,4,4,5,3,4,1,3,3,2,5,3,2,3,2,2,3,3,4,1,3,3,3,3,4,3,3,1,3,6,6,6,6,6,6,6,2,3,2,1,1,1, , , , , , , , , ,1,5,2,4,2,1
116,1,1,1,5,2,4,4,2, , ,-7,2,2,4,2, ,2,1,1,4,1,1,1,7,7,7,6,5,7,1,7,5,1,1,7,7,7,6,5,1,5,4,1,4,5,1,7,7,7,5,2,7,7,4,2,7,7,5,6,6,2,6,5,5,4,7,7,1,4,6,3,-7,4,4,2,4,4,4,4,4,4,4,4,4,7,4,2,4,3,1,1,2,2, ,2,2,2,20,90,30,10,100,2, , ,1,3,1,2,9,4,-9,3,4,38,15,2,4,2,3,4,2,3,5,3,2,4,4,4,3,2,4,2,5,5,3,4,2,2,4,1,5,4,3,5,2,2,3,2,4,2,3,5,2,1,4,2,4,5,4,4,4,2,3,2,4,2,3,5,4,5,3,6,5,5,3,3,4,2,3,5,6,6,5,6,5,3,4,7,4,1,1,4,2,3,2
